Customer_ID,Customer_Name,Age,Gender,Marital_Status,Education_Level,Employment_Status,Occupation,Annual_Income,Monthly_Income,Monthly_Expenses,Savings_Balance,Account_Balance,Credit_Score,Credit_History_Years,Existing_EMI,Debt_to_Income_Ratio,Number_of_Credit_Cards,Previous_Defaults,Loan_ID,Loan_Term,Interest_Rate,EMI_Amount,Loan_Purpose,Loan_Status,Collateral_Value,Monthly_Transaction_Count,Total_Deposits,Total_Withdrawals,Average_Monthly_Balance,Missed_EMI_Count,Days_Past_Due,Outstanding_Loan_Balance,Fraud_Flag,Risk_Category,Recovery_Status,Loan_Default
CUST100027,Rohit Verma,40,Male,Married,Graduate,Employed,Engineer,75599,6302,3403,21998,15003,712,7,446,6.97,3,3,LN200027,51,9.72,454,Home,Approved,100002,40,11005,9502,14497,5,20,28995,No,Medium,Not Required,No
CUST100028,Sneha Nair,30,Female,Single,Graduate,Employed,Teacher,60479,5039,2770,13602,9402,623,8,308,6.3,4,0,LN200028,59,9.89,311,Personal,Approved,64995,37,8896,7749,8905,5,4,22696,No,High,Ongoing,Yes
CUST100029,Kiran Kumar,24,Male,Married,Graduate,Employed,Driver,62639,5218,2863,14797,10201,627,2,327,6.19,1,5,LN200029,23,11.2,335,Car,Approved,70002,32,9200,8005,9705,-3,11,23602,Yes,High,Ongoing,Yes
CUST100030,Anjali Gupta,26,Female,Married,Graduate,Employed,Accountant,64803,5400,2949,16000,10996,647,11,348,6.27,2,-2,LN200030,41,11.22,346,Home,Approved,74997,30,9495,8251,10496,1,28,24504,No,High,Ongoing,Yes
CUST100031,Mohan Rao,35,Male,Single,Graduate,Employed,Shop Owner,66965,5581,3040,17202,11800,659,13,369,6.37,1,-3,LN200031,44,11.72,370,Education,Approved,79999,34,9805,8500,11298,-3,-5,25397,No,Medium,Not Required,No
CUST100032,Aishwarya Rao,38,Female,Married,Graduate,Employed,Bank Officer,82081,6836,3672,25599,17395,748,5,507,7.52,-2,-4,LN200032,40,12.41,506,Personal,Approved,115003,40,11904,10245,16902,3,19,31703,No,Low,Not Required,No
CUST100033,Suresh Naidu,39,Male,Married,Graduate,Employed,Farmer,88555,7377,3935,29203,19797,787,6,574,7.6,0,-1,LN200033,24,9.14,566,Education,Approved,130005,46,12805,11005,19303,3,12,34400,Yes,Low,Not Required,No
CUST100034,Sneha Nair,27,Female,Single,Graduate,Employed,Teacher,60484,5036,2770,13599,9401,615,6,306,6.07,3,-3,LN200034,65,10.55,312,Personal,Approved,64996,28,8899,7753,8898,2,3,22703,No,High,Ongoing,Yes
CUST100035,Mohan Rao,26,Male,Single,Graduate,Employed,Shop Owner,66956,5580,3040,17200,11805,658,12,372,6.44,-3,-3,LN200035,46,11.94,369,Education,Approved,80002,31,9800,8497,11304,5,0,25397,No,Medium,Not Required,No
CUST100036,Manoj Singh,38,Male,Single,Graduate,Employed,Police,92885,7743,4125,31604,21399,809,13,606,7.93,6,3,LN200036,44,10.66,608,Personal,Approved,139998,52,13400,11501,20905,5,-4,36197,No,Low,Not Required,No
CUST100037,Priya Reddy,24,Female,Married,Graduate,Employed,Analyst,56160,4678,2593,11205,7796,590,7,271,5.91,5,2,LN200037,34,8.57,267,Education,Approved,54998,34,8303,7254,7295,1,10,20899,No,High,Ongoing,Yes
CUST100038,Pooja Mehta,37,Female,Single,Graduate,Employed,Designer,86402,7200,3847,27996,18996,778,3,552,7.91,1,1,LN200038,61,8.99,551,Home,Approved,125004,43,12504,10749,18495,1,1,33497,No,Low,Not Required,No
CUST100039,Manoj Singh,42,Male,Single,Graduate,Employed,Police,92877,7738,4119,31600,21399,819,9,614,8.01,6,-5,LN200039,43,10.82,610,Personal,Approved,140002,49,13395,11504,20898,-4,1,36201,No,Low,Not Required,No
CUST100040,Sneha Nair,24,Female,Single,Graduate,Employed,Teacher,60485,5036,2773,13595,9403,619,10,306,6.07,-3,0,LN200040,62,10.04,311,Personal,Approved,65001,29,8895,7746,8898,4,0,22700,No,High,Ongoing,Yes
CUST100041,Sneha Nair,30,Female,Single,Graduate,Employed,Teacher,60485,5044,2767,13600,9395,616,4,306,6.18,4,-4,LN200041,61,10.33,305,Personal,Approved,64998,35,8902,7754,8904,-5,3,22702,No,High,Ongoing,Yes
CUST100042,Kavya Iyer,39,Female,Single,Graduate,Employed,HR,73436,6125,3312,20797,14197,695,16,429,6.89,1,-4,LN200042,35,9.24,425,Car,Approved,95002,40,10702,9253,13702,3,1,28104,No,Medium,Not Required,No
CUST100043,Sneha Kapoor,41,Female,Married,Graduate,Employed,Tester,95040,7919,4211,32802,22202,830,10,627,8.15,-1,4,LN200043,56,11.26,625,Car,Approved,144996,52,13705,11750,21701,4,20,37105,No,Low,Not Required,No
CUST100044,Kavya Iyer,30,Female,Single,Graduate,Employed,HR,73437,6125,3310,20795,14204,696,10,428,7.06,3,3,LN200044,36,9.6,425,Car,Approved,95004,43,10701,9252,13704,0,-3,28101,No,Medium,Not Required,No
CUST100045,Rohit Verma,35,Male,Married,Graduate,Employed,Engineer,75602,6295,3402,21999,14999,711,7,448,7.0,2,-5,LN200045,43,10.03,455,Home,Approved,100005,38,11002,9496,14500,6,19,29005,No,Medium,Not Required,No
CUST100046,Kavitha Iyer,41,Female,Married,Graduate,Employed,Doctor,90716,7562,4032,30400,20601,802,6,590,7.97,2,1,LN200046,31,10.14,590,Business,Approved,135004,45,13101,11252,20105,2,34,35301,No,Low,Not Required,No
CUST100047,Pooja Singh,27,Female,Married,Graduate,Employed,Nurse,69122,5762,3134,18399,12600,672,7,389,6.97,-1,0,LN200047,55,8.23,395,Business,Approved,84996,41,10099,8755,12102,3,15,26302,No,Medium,Not Required,No
CUST100048,Priya Reddy,31,Female,Married,Graduate,Employed,Analyst,56160,4683,2593,11205,7795,589,8,269,5.82,-1,-2,LN200048,37,8.3,267,Education,Approved,54996,29,8298,7245,7296,-1,11,20903,No,High,Ongoing,Yes
CUST100049,Kiran Kumar,28,Male,Married,Graduate,Employed,Driver,62635,5222,2862,14803,10202,637,2,329,6.57,-3,3,LN200049,22,11.14,326,Car,Approved,69995,34,9204,7998,9704,-4,11,23599,Yes,High,Ongoing,Yes
CUST100050,Priya Reddy,24,Female,Married,Graduate,Employed,Analyst,56155,4682,2590,11199,7801,590,7,275,5.93,0,-2,LN200050,33,8.77,266,Education,Approved,55000,34,8302,7250,7298,5,16,20904,No,High,Ongoing,Yes
CUST100051,Divya Sharma,35,Female,Married,Graduate,Employed,Lecturer,77756,6481,3493,23196,15795,725,-1,471,7.27,-2,3,LN200051,61,10.52,466,Education,Approved,105002,40,11298,9748,15297,-2,26,29895,No,Low,Not Required,No
CUST100052,Vikram Das,31,Male,Married,Graduate,Employed,Manager,71277,5945,3224,19595,13397,685,8,409,7.11,8,1,LN200052,20,9.06,409,Personal,Approved,90001,38,10402,8999,12904,-3,30,27202,No,Medium,Not Required,No
CUST100053,Divya Sharma,34,Female,Married,Graduate,Employed,Lecturer,77762,6477,3492,23195,15795,726,2,473,7.37,-2,0,LN200053,56,11.24,472,Education,Approved,104998,38,11300,9751,15300,1,30,29900,No,Low,Not Required,No
CUST100054,Anjali Gupta,25,Female,Married,Graduate,Employed,Accountant,64798,5403,2946,15996,10996,647,12,346,6.82,0,1,LN200054,37,11.37,346,Home,Approved,75004,38,9496,8254,10496,3,27,24496,No,High,Ongoing,Yes
CUST100055,Divya Sharma,31,Female,Married,Graduate,Employed,Lecturer,77762,6485,3485,23197,15800,728,6,471,7.51,5,-4,LN200055,65,10.67,465,Education,Approved,104998,38,11299,9748,15305,5,27,29896,No,Low,Not Required,No
CUST100056,Suresh Naidu,44,Male,Married,Graduate,Employed,Farmer,88557,7380,3940,29197,19796,792,7,574,7.71,7,2,LN200056,22,9.03,569,Education,Approved,130002,42,12797,11001,19304,-1,20,34402,Yes,Low,Not Required,No
CUST100057,Kavya Iyer,39,Female,Single,Graduate,Employed,HR,73443,6118,3307,20799,14202,693,14,427,6.94,0,-2,LN200057,41,9.58,431,Car,Approved,95004,44,10703,9252,13698,1,-5,28099,No,Medium,Not Required,No
CUST100058,Arjun Patel,27,Male,Married,Graduate,Employed,Business,58325,4855,2678,12403,8598,609,0,290,6.11,8,6,LN200058,46,9.6,289,Business,Approved,59997,31,8598,7502,8099,6,30,21805,No,High,Ongoing,Yes
CUST100059,Vinod Reddy,37,Male,Married,Graduate,Employed,Electrician,84240,7016,3765,26797,18196,759,8,526,7.76,-1,-4,LN200059,50,8.38,527,Car,Approved,119998,41,12196,10498,17698,3,26,32599,No,Low,Not Required,No
CUST100060,Sneha Nair,30,Female,Single,Graduate,Employed,Teacher,60478,5043,2772,13597,9399,620,1,313,6.39,6,5,LN200060,59,10.54,312,Personal,Approved,64995,30,8895,7748,8902,4,-2,22698,No,High,Ongoing,Yes
CUST100061,Sneha Kapoor,41,Female,Married,Graduate,Employed,Tester,95043,7923,4213,32797,22195,825,11,630,7.67,1,-2,LN200061,64,11.44,629,Car,Approved,144995,50,13699,11748,21700,0,20,37100,No,Low,Not Required,No
CUST100062,Harish Kumar,35,Male,Single,Graduate,Employed,Retailer,79919,6662,3576,24400,16600,741,6,485,7.11,2,1,LN200062,27,11.95,487,Business,Approved,109998,45,11600,10002,16099,0,-3,30804,Yes,Low,Not Required,No
CUST100063,Pooja Mehta,42,Female,Single,Graduate,Employed,Designer,86395,7201,3847,28004,19001,774,9,550,7.96,6,2,LN200063,57,8.55,545,Home,Approved,124995,47,12498,10751,18505,1,1,33504,No,Low,Not Required,No
CUST100064,Pooja Singh,27,Female,Married,Graduate,Employed,Nurse,69119,5765,3128,18395,12605,676,9,395,6.62,-3,4,LN200064,60,8.35,391,Business,Approved,84997,38,10105,8748,12095,5,18,26301,No,Medium,Not Required,No
CUST100065,Kiran Kumar,26,Male,Married,Graduate,Employed,Driver,62642,5218,2860,14803,10198,637,8,334,6.45,-2,-1,LN200065,23,10.3,326,Car,Approved,70005,33,9201,7997,9698,-3,20,23597,Yes,High,Ongoing,Yes
CUST100066,Sneha Nair,31,Female,Single,Graduate,Employed,Teacher,60476,5040,2769,13603,9403,615,1,310,6.35,1,-2,LN200066,55,10.23,305,Personal,Approved,64998,37,8898,7755,8903,-4,4,22701,No,High,Ongoing,Yes
CUST100067,Aishwarya Rao,39,Female,Married,Graduate,Employed,Bank Officer,82075,6842,3673,25604,17400,744,7,510,7.47,1,-3,LN200067,36,12.75,510,Personal,Approved,114997,41,11896,10250,16904,1,18,31705,No,Low,Not Required,No
CUST100068,Anjali Gupta,27,Female,Married,Graduate,Employed,Accountant,64795,5399,2954,15999,11005,645,11,345,6.5,-1,0,LN200068,32,11.47,349,Home,Approved,74997,40,9502,8253,10504,1,25,24502,No,High,Ongoing,Yes
CUST100069,Manoj Singh,38,Male,Single,Graduate,Employed,Police,92876,7741,4118,31601,21404,809,16,613,7.67,-1,5,LN200069,49,11.31,610,Personal,Approved,140000,47,13399,11504,20898,-5,2,36196,No,Low,Not Required,No
CUST100070,Kiran Kumar,34,Male,Married,Graduate,Employed,Driver,62642,5223,2864,14798,10202,631,3,328,6.36,0,0,LN200070,20,11.23,325,Car,Approved,70005,39,9198,7999,9695,5,11,23605,Yes,High,Ongoing,Yes
CUST100071,Kavitha Iyer,44,Female,Married,Graduate,Employed,Doctor,90722,7558,4031,30403,20601,799,10,592,7.64,0,-5,LN200071,35,9.69,594,Business,Approved,134995,48,13097,11247,20098,-1,26,35301,No,Low,Not Required,No
CUST100072,Harish Kumar,41,Male,Single,Graduate,Employed,Retailer,79920,6656,3576,24397,16595,739,8,494,7.54,3,-4,LN200072,20,11.59,487,Business,Approved,110004,40,11598,10001,16097,0,1,30799,Yes,Low,Not Required,No
CUST100073,Vikram Das,29,Male,Married,Graduate,Employed,Manager,71279,5944,3219,19605,13400,682,16,409,6.81,-1,-2,LN200073,24,8.8,410,Personal,Approved,90000,35,10403,9004,12898,2,29,27200,No,Medium,Not Required,No
CUST100074,Kavya Iyer,33,Female,Single,Graduate,Employed,HR,73442,6124,3313,20805,14203,701,13,428,7.04,-1,5,LN200074,39,9.71,428,Car,Approved,94996,38,10701,9255,13701,-1,5,28100,No,Medium,Not Required,No
CUST100075,Mohan Rao,36,Male,Single,Graduate,Employed,Shop Owner,66955,5582,3045,17199,11801,663,8,374,6.72,-3,2,LN200075,52,12.63,373,Education,Approved,79999,41,9796,8500,11301,4,0,25404,No,Medium,Not Required,No
CUST100076,Arjun Patel,26,Male,Married,Graduate,Employed,Business,58323,4862,2681,12403,8596,609,2,292,6.08,2,-4,LN200076,46,9.34,290,Business,Approved,59995,35,8597,7502,8095,4,31,21800,No,High,Ongoing,Yes
CUST100077,Divya Sharma,35,Female,Married,Graduate,Employed,Lecturer,77758,6475,3490,23195,15804,721,4,473,7.54,1,0,LN200077,65,11.12,473,Education,Approved,105000,39,11298,9750,15297,7,32,29905,No,Low,Not Required,No
CUST100078,Rohit Verma,31,Male,Married,Graduate,Employed,Engineer,75595,6297,3404,21999,14998,707,5,454,6.93,4,5,LN200078,52,9.8,453,Home,Approved,100003,42,11000,9497,14503,-1,12,28995,No,Medium,Not Required,No
CUST100079,Arjun Patel,28,Male,Married,Graduate,Employed,Business,58320,4857,2681,12401,8599,608,9,292,5.76,3,-2,LN200079,43,8.94,293,Business,Approved,59995,34,8597,7501,8098,5,33,21800,No,High,Ongoing,Yes
CUST100080,Arjun Patel,31,Male,Married,Graduate,Employed,Business,58316,4858,2675,12399,8602,611,10,286,5.84,6,2,LN200080,50,9.27,286,Business,Approved,60004,31,8603,7500,8098,1,35,21797,No,High,Ongoing,Yes
CUST100081,Pooja Singh,37,Female,Married,Graduate,Employed,Nurse,69119,5765,3126,18397,12605,673,15,394,7.1,-1,2,LN200081,58,8.32,390,Business,Approved,85000,37,10103,8750,12098,0,14,26301,No,Medium,Not Required,No
CUST100082,Kiran Kumar,28,Male,Married,Graduate,Employed,Driver,62641,5223,2857,14799,10200,636,5,332,6.3,3,4,LN200082,24,11.18,328,Car,Approved,70001,35,9205,7995,9701,2,11,23605,Yes,High,Ongoing,Yes
CUST100083,Divya Sharma,37,Female,Married,Graduate,Employed,Lecturer,77757,6475,3494,23203,15803,722,6,471,7.47,8,-1,LN200083,57,10.79,467,Education,Approved,105001,45,11296,9752,15298,7,26,29905,No,Low,Not Required,No
CUST100084,Pooja Mehta,36,Female,Single,Graduate,Employed,Designer,86398,7203,3850,28004,18998,771,11,548,7.81,2,3,LN200084,56,8.99,548,Home,Approved,125005,48,12495,10753,18497,3,-1,33498,No,Low,Not Required,No
CUST100085,Pooja Singh,31,Female,Married,Graduate,Employed,Nurse,69120,5761,3128,18405,12602,666,6,394,6.96,0,-1,LN200085,56,7.9,390,Business,Approved,84999,33,10098,8751,12099,4,15,26305,No,Medium,Not Required,No
CUST100086,Kavitha Iyer,47,Female,Married,Graduate,Employed,Doctor,90719,7555,4035,30401,20604,801,13,591,8.06,2,3,LN200086,41,10.2,591,Business,Approved,135003,43,13105,11251,20096,0,33,35300,No,Low,Not Required,No
CUST100087,Priya Reddy,24,Female,Married,Graduate,Employed,Analyst,56155,4678,2589,11202,7796,596,0,268,5.86,2,6,LN200087,31,8.61,267,Education,Approved,54995,30,8303,7255,7301,-3,11,20905,No,High,Ongoing,Yes
CUST100088,Kiran Kumar,29,Male,Married,Graduate,Employed,Driver,62644,5224,2859,14802,10198,631,3,330,6.26,1,0,LN200088,27,11.33,326,Car,Approved,70004,34,9201,8000,9701,-1,15,23596,Yes,High,Ongoing,Yes
CUST100089,Anjali Gupta,28,Female,Married,Graduate,Employed,Accountant,64804,5404,2945,15998,11003,646,4,346,6.56,2,3,LN200089,41,11.72,349,Home,Approved,75005,37,9502,8252,10504,3,28,24504,No,High,Ongoing,Yes
CUST100090,Rahul Sharma,29,Male,Single,Graduate,Employed,Engineer,54000,4497,2498,9999,6998,577,3,249,5.51,6,2,LN200090,23,7.65,255,Home,Approved,49999,25,7995,7004,6495,0,3,19997,No,High,Ongoing,Yes
CUST100091,Vinod Reddy,34,Male,Married,Graduate,Employed,Electrician,84236,7020,3758,26801,18196,758,3,525,7.64,-1,-1,LN200091,49,8.04,528,Car,Approved,119999,40,12205,10505,17705,7,34,32602,No,Low,Not Required,No
CUST100092,Divya Sharma,40,Female,Married,Graduate,Employed,Lecturer,77755,6480,3488,23200,15798,724,0,467,7.13,5,-2,LN200092,65,10.51,469,Education,Approved,105003,42,11296,9749,15301,1,29,29903,No,Low,Not Required,No
CUST100093,Vikram Das,35,Male,Married,Graduate,Employed,Manager,71282,5936,3223,19598,13400,685,10,405,7.24,4,3,LN200093,28,8.89,413,Personal,Approved,90002,37,10401,8999,12902,1,27,27203,No,Medium,Not Required,No
CUST100094,Kavya Iyer,30,Female,Single,Graduate,Employed,HR,73444,6122,3306,20800,14204,693,16,432,6.77,-4,5,LN200094,37,8.98,433,Car,Approved,94996,42,10698,9252,13697,-1,-2,28099,No,Medium,Not Required,No
CUST100095,Arjun Patel,26,Male,Married,Graduate,Employed,Business,58318,4856,2678,12398,8598,601,4,294,6.22,1,-3,LN200095,51,9.69,295,Business,Approved,59997,29,8603,7502,8095,0,32,21802,No,High,Ongoing,Yes
CUST100096,Vikram Das,28,Male,Married,Graduate,Employed,Manager,71282,5939,3217,19602,13402,684,16,406,6.73,3,2,LN200096,25,9.07,406,Personal,Approved,90001,36,10403,8999,12902,2,27,27200,No,Medium,Not Required,No
CUST100097,Arjun Patel,22,Male,Married,Graduate,Employed,Business,58315,4862,2679,12400,8596,611,5,286,5.76,8,-2,LN200097,53,9.37,290,Business,Approved,60004,34,8595,7500,8098,-2,35,21797,No,High,Ongoing,Yes
CUST100098,Arjun Patel,30,Male,Married,Graduate,Employed,Business,58321,4860,2675,12402,8604,603,2,294,5.72,8,-4,LN200098,52,9.3,294,Business,Approved,59995,27,8595,7504,8101,-2,34,21797,No,High,Ongoing,Yes
CUST100099,Rahul Sharma,21,Male,Single,Graduate,Employed,Engineer,54001,4500,2499,10001,6995,581,-1,252,5.62,-2,0,LN200099,23,8.38,250,Home,Approved,49995,32,7995,7001,6502,-4,-4,20000,No,High,Ongoing,Yes
CUST100100,Vinod Reddy,36,Male,Married,Graduate,Employed,Electrician,84238,7020,3758,26805,18205,757,10,533,7.32,2,-4,LN200100,50,8.18,535,Car,Approved,119995,47,12199,10500,17704,4,35,32602,No,Low,Not Required,No
CUST100101,Vinod Reddy,43,Male,Married,Graduate,Employed,Electrician,84236,7022,3762,26797,18195,766,5,533,7.66,4,1,LN200101,44,8.01,526,Car,Approved,120002,48,12199,10500,17703,-1,28,32596,No,Low,Not Required,No
CUST100102,Vikram Das,35,Male,Married,Graduate,Employed,Manager,71279,5939,3216,19600,13403,687,8,414,6.56,1,-2,LN200102,25,8.4,410,Personal,Approved,90005,38,10396,8997,12903,1,29,27205,No,Medium,Not Required,No
CUST100103,Rohit Verma,33,Male,Married,Graduate,Employed,Engineer,75604,6299,3398,22005,14999,712,0,453,6.99,6,3,LN200103,51,10.12,448,Home,Approved,99995,43,10999,9500,14498,5,19,29005,No,Medium,Not Required,No
CUST100104,Vinod Reddy,39,Male,Married,Graduate,Employed,Electrician,84240,7017,3759,26802,18196,767,5,527,7.54,1,-2,LN200104,52,7.91,531,Car,Approved,120001,43,12200,10505,17699,5,25,32602,No,Low,Not Required,No
CUST100105,Arjun Patel,30,Male,Married,Graduate,Employed,Business,58316,4862,2685,12402,8601,603,0,294,6.1,5,-1,LN200105,52,9.82,290,Business,Approved,59996,31,8602,7496,8101,6,25,21803,No,High,Ongoing,Yes
CUST100106,Kiran Kumar,26,Male,Married,Graduate,Employed,Driver,62638,5223,2857,14803,10204,631,11,326,6.47,3,-3,LN200106,21,10.64,327,Car,Approved,69999,39,9202,7999,9698,-2,18,23603,Yes,High,Ongoing,Yes
CUST100107,Rahul Sharma,24,Male,Single,Graduate,Employed,Engineer,53998,4502,2505,10005,6998,585,2,252,5.6,-1,2,LN200107,27,7.9,250,Home,Approved,49996,29,7997,6997,6498,-2,1,20004,No,High,Ongoing,Yes
CUST100108,Kiran Kumar,27,Male,Married,Graduate,Employed,Driver,62643,5220,2856,14801,10198,629,4,332,6.48,3,-3,LN200108,26,10.81,333,Car,Approved,69996,39,9201,8001,9703,1,14,23604,Yes,High,Ongoing,Yes
CUST100109,Vikram Das,31,Male,Married,Graduate,Employed,Manager,71278,5940,3221,19600,13395,680,12,408,7.16,8,3,LN200109,23,8.31,413,Personal,Approved,89995,39,10397,8995,12903,2,30,27200,No,Medium,Not Required,No
